epoch,accuracy,acu,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_acu,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.8036378622055054,0.8886211514472961,1995.0,2334.0,0.42188602685928345,0.7946326732635498,0.8190640211105347,8686.0,9031.0,0.6653357744216919,0.8933952450752258,23.0,899.0,1.3600927591323853,0.6018600463867188,0.9833574295043945,474.0,1359.0
1,0.9249750375747681,0.9703986048698425,701.0,953.0,0.20936918258666992,0.9155067205429077,0.9364287853240967,10066.0,10326.0,0.9368420839309692,0.9800367951393127,34.0,140.0,0.18030379712581635,0.9061661958694458,0.9754689931869507,1229.0,1352.0
2,0.941168487071991,0.9827956557273865,597.0,700.0,0.16071969270706177,0.9370899796485901,0.9458454251289368,10322.0,10427.0,0.9324864149093628,0.9794652462005615,116.0,70.0,0.19807960093021393,0.9480712413787842,0.916786253452301,1291.0,1278.0
3,0.9496960639953613,0.9879486560821533,513.0,596.0,0.13534162938594818,0.9463739395141602,0.953494668006897,10419.0,10518.0,0.8784028887748718,0.9545613527297974,15.0,320.0,0.4834044575691223,0.8102016448974609,0.9891383051872253,1054.0,1366.0
4,0.965118408203125,0.9939764738082886,368.0,401.0,0.09458491206169128,0.9637399315834045,0.9666243195533752,10619.0,10658.0,0.9372050762176514,0.9789125919342041,70.0,103.0,0.1869044005870819,0.9277192950248718,0.9497126340866089,1260.0,1322.0
0,0.6806223392486572,0.7485077977180481,3333.0,3708.0,0.5940381288528442,0.6746797561645508,0.6976322531700134,7315.0,7690.0,0.5437386631965637,0.81557697057724,8.0,1249.0,1.035871982574463,0.527073085308075,0.9942857027053833,106.0,1392.0
1,0.8968973755836487,0.9535927176475525,986.0,1287.0,0.27488425374031067,0.8864278197288513,0.9106155633926392,9728.0,10045.0,0.9092559218406677,0.9690791964530945,57.0,193.0,0.24884283542633057,0.8729427456855774,0.9587852358818054,1179.0,1326.0
2,0.9309171438217163,0.9749521017074585,661.0,862.0,0.1935642510652542,0.9232071042060852,0.9400399327278137,10160.0,10363.0,0.9466424584388733,0.9837741255760193,49.0,98.0,0.15713201463222504,0.9317073225975037,0.9646464586257935,1271.0,1337.0
3,0.9464302062988281,0.9846799969673157,492.0,689.0,0.14916843175888062,0.9385917782783508,0.9553660750389099,10334.0,10531.0,0.9219600558280945,0.9833168983459473,175.0,40.0,0.2119157910346985,0.9679229855537415,0.8733718991279602,1333.0,1207.0
4,0.9542320370674133,0.9894997477531433,430.0,579.0,0.12428463250398636,0.948173999786377,0.9609906673431396,10444.0,10593.0,0.9459165334701538,0.9819191694259644,84.0,65.0,0.1758442521095276,0.9523460268974304,0.9392624497413635,1307.0,1299.0
0,0.7205842137336731,0.7977136373519897,3245.0,2915.0,0.5430260300636292,0.727519154548645,0.705748975276947,8103.0,7783.0,0.5292196273803711,0.5744641423225403,11.0,1286.0,3.941106081008911,0.5165413618087769,0.992057740688324,84.0,1374.0
1,0.9155402183532715,0.9672889709472656,875.0,987.0,0.22769035398960114,0.9114639163017273,0.9207140207290649,10023.0,10161.0,0.9393829107284546,0.9802716374397278,91.0,76.0,0.18195047974586487,0.9449275135993958,0.9347670078277588,1284.0,1304.0
2,0.9383108019828796,0.9800618290901184,615.0,745.0,0.173780158162117,0.9332437515258789,0.9442429542541504,10271.0,10415.0,0.9477313756942749,0.9845684170722961,42.0,102.0,0.1478850096464157,0.9289198517799377,0.9694545269012451,1278.0,1333.0
3,0.9470652341842651,0.985953688621521,534.0,633.0,0.14568525552749634,0.9430806636810303,0.9515514373779297,10391.0,10488.0,0.9462794661521912,0.9833084940910339,73.0,75.0,0.15759417414665222,0.9459654092788696,0.9473304748535156,1294.0,1313.0
4,0.959176242351532,0.9913002252578735,416.0,484.0,0.11431300640106201,0.9563570618629456,0.9622573256492615,10540.0,10606.0,0.8101633191108704,0.8738799691200256,352.0,171.0,0.7410303354263306,0.8587943911552429,0.7471264600753784,1192.0,1040.0
5,0.9622153639793396,0.9930194616317749,377.0,456.0,0.10174175351858139,0.9589263200759888,0.9657987952232361,10567.0,10646.0,0.9245008826255798,0.9776982665061951,147.0,61.0,0.2065434604883194,0.9533995389938354,0.8946236371994019,1299.0,1248.0
